Source_Store,Category,Title,Price,Stock,URL
Nanotek,Graphics Card,Asus ROG Astral LC GeForce RTX 5090 32GB GDDR7,"1,569,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-rog-astral-lc-geforce-rtx-5090-32gb-gddr7
Nanotek,Graphics Card,ASUS ROG Geforce RTX 5090 Astral 32GB GDDR7,"1,435,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-rog-geforce-rtx-5090-astral-32gb-gddr7
Nanotek,Graphics Card,ASUS TUF Gaming Geforce RTX 5080 16GB GDDR7,"629,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-tuf-gaming-geforce-rtx-5080-16gb-gddr7
Nanotek,Graphics Card,ASUS ROG Astral GeForce RTX 5080 16GB GDDR7 OC Edition,"679,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-rog-astral-geforce-rtx-5080-16gb-gddr7-oc-edition
Nanotek,Graphics Card,ASUS Prime GeForce RTX 5070 Ti 16GB OC GDDR7,"464,000 LKR",In Stock,https://www.nanotek.lk/product/asus-prime-geforce-rtx-5070-ti-16gb-oc-gddr7
Nanotek,Graphics Card,Asus TUF Gaming GeForce RTX 5070 12GB GDDR7 OC,"299,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-tuf-gaming-geforce-rtx-5070-12gb-gddr7-oc
Nanotek,Graphics Card,ASUS Dual GeForce RTX 5070 12GB GDDR7 OC,"320,000 LKR",In Stock,https://www.nanotek.lk/product/asus-dual-geforce-rtx-5070-12gb-gddr7-oc
Nanotek,Graphics Card,Asus PRIME GeForce RTX 5070 12GB GDDR7 OC,"269,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-prime-geforce-rtx-5070-12gb-gddr7-oc
Nanotek,Graphics Card,ASUS Dual GeForce RTX 5060 Ti 8GB GDDR7 OC,"192,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-dual-geforce-rtx-5060-ti-8gb-gddr7-oc
Nanotek,Graphics Card,ASUS TUF Gaming GeForce RTX 5060 Ti 16GB GDDR7,"225,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-tuf-gaming-geforce-rtx-5060-ti-16gb-gddr7
Nanotek,Graphics Card,ASUS Dual GeForce RTX 5060 Ti 16GB GDDR7,"279,000 LKR",In Stock,https://www.nanotek.lk/product/asus-dual-geforce-rtx-5060-ti-16gb-gddr7
Nanotek,Graphics Card,ASUS PRIME RTX 5060 8GB OC,"162,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-prime-rtx-5060-8gb-oc
Nanotek,Graphics Card,ASUS Dual GeForce RTX 5060 8GB OC GDDR7,"175,000 LKR",In Stock,https://www.nanotek.lk/product/asus-dual-geforce-rtx-5060-8gb-oc-gddr7
Nanotek,Graphics Card,ASUS TUF Gaming GeForce RTX 5060 8GB GDDR7,"169,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-tuf-gaming-geforce-rtx-5060-8gb-gddr7
Nanotek,Graphics Card,ASUS PRIME RTX 5050 8GB OC,"144,500 LKR",In Stock,https://www.nanotek.lk/product/asus-prime-rtx-5050-8gb-oc
Nanotek,Graphics Card,ASUS Dual GeForce RTX 5050 8GB GDDR6 OC Edition,"132,000 LKR",In Stock,https://www.nanotek.lk/product/asus-dual-geforce-rtx-5050-8gb-gddr6-oc-edition-1
